# Z = 79, A = 197 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
N4-T6	934956		1.7533e+15
N4-U2	962316		2.04126e+14
N4-U3	964985		1.01994e+13
N4-U6	965761		1.29011e+15
N4-V2	986528		1.54567e+14
N4-V3	988579		7.73219e+12
N4-V6	989176		9.7799e+14
N4-W2	1.00531e+06		1.19944e+14
N4-W3	1.00692e+06		6.00604e+12
N4-W6	1.00739e+06		7.59677e+14
N4-X2	1.02017e+06		9.49983e+13
N4-X3	1.02145e+06		4.76087e+12
N4-X6	1.02183e+06		6.02215e+14
N4-Y2	1.03213e+06		7.65542e+13
N4-Y3	1.03317e+06		3.83934e+12
N4-Y6	1.03348e+06		4.85686e+14
N4-Z2	1.04189e+06		6.26147e+13
N4-Z3	1.04275e+06		3.1423e+12
N4-Z6	1.043e+06		3.97543e+14
N5-N3	13768.9		2.55957e+12
N5-N7	7688.92		1.91742e+11
N5-O3	408485		1.0567e+15
N5-O6	401031		1.4109e+15
N5-O7	405078		2.09685e+16
N5-P3	623453		5.31288e+14
N5-P6	619071		6.90176e+14
N5-P7	621412		1.05842e+16
N5-Q3	753123		3.03542e+14
N5-Q6	750355		3.89232e+14
N5-Q7	751827		6.05421e+15
N5-R3	837205		1.90585e+14
N5-R6	835361		2.42215e+14
N5-R7	836344		3.80428e+15
N5-S3	894742		1.27864e+14
N5-S6	893460		1.61569e+14
N5-S7	894149		2.55365e+15
N5-T3	918547		1.5289e+14
N5-T6	919581		1.13044e+14
N5-T7	920082		1.79363e+15
N5-U3	949610		1.12491e+14
N5-U6	950386		8.2845e+13
N5-U7	950763		1.31841e+15
N5-V3	973204		8.52759e+13
N5-V6	973801		6.26161e+13
N5-V7	974091		9.987e+14
N5-W3	991544		6.62416e+13
N5-W6	992013		4.8529e+13
N5-W7	992241		7.75335e+14
N5-X3	1.00608e+06		5.25128e+13
N5-X6	1.00646e+06		3.84025e+13
N5-X7	1.00664e+06		6.14372e+14
N5-Y3	1.0178e+06		4.23523e+13
N5-Y6	1.0181e+06		3.09282e+13
N5-Y7	1.01825e+06		4.95333e+14
N5-Z3	1.02738e+06		3.46664e+13
N5-Z6	1.02763e+06		2.52865e+13
N5-Z7	1.02775e+06		4.05339e+14
N6-N5	196.535		207516
N6-O4	393552		5.61281e+14
N6-O5	401347		1.99074e+13
N6-O8	405548		3.38855e+16
N6-P4	614853		2.39019e+14
N6-P5	619331		8.52283e+12
N6-P8	621795		1.11174e+16
N6-Q4	747779		1.25758e+14
N6-Q5	750581		4.46632e+12
N6-Q8	752163		5.25567e+15
N6-R4	833699		7.52796e+13
N6-R5	835566		2.67301e+12
N6-R8	836651		2.96809e+15
N6-S4	892349		4.89687e+13
N6-S5	893653		1.73837e+12
N6-S8	894437		1.86349e+15
N6-T4	918744		3.37683e+13
N6-T5	919777		1.16534e+12
N6-T8	920279		1.25308e+15
N6-U4	949807		2.44399e+13
N6-U5	950583		8.42752e+11
N6-U8	950959		8.91834e+14
N6-V4	973401		1.82994e+13
N6-V5	973998		6.30566e+11
N6-V8	974287		6.59657e+14
N6-W4	991740		1.408e+13
N6-W5	992209		4.84882e+11
N6-W8	992437		5.02914e+14
N6-X4	1.00628e+06		1.10784e+13
N6-X5	1.00665e+06		3.81327e+11
N6-X8	1.00683e+06		3.92907e+14
N6-Y4	1.01799e+06		8.88131e+12
N6-Y5	1.0183e+06		3.05579e+11
N6-Y8	1.01845e+06		3.13229e+14
N6-Z4	1.02757e+06		7.23406e+12
N6-Z5	1.02782e+06		2.48822e+11
N6-Z8	1.02795e+06		2.53993e+14
N7-O5	393462		4.59957e+14
N7-O8	397663		1.21097e+15
N7-O9	400050		3.45123e+16
N7-P5	611445		1.96256e+14
N7-P8	613909		3.83332e+14
N7-P9	615293		1.12175e+16
N7-Q5	742696		1.03267e+14
N7-Q8	744277		1.78136e+14
N7-Q9	745148		5.28142e+15
N7-R5	827680		6.17374e+13
N7-R8	828766		9.95022e+13
N7-R9	829348		2.97655e+15
N7-S5	885768		4.01238e+13
N7-S8	886551		6.2035e+13
N7-S9	886959		1.8664e+15
N7-T5	911892		2.69238e+13
N7-T8	912393		4.15141e+13
N7-T9	912690		1.25391e+15
N7-U5	942697		1.94762e+13
N7-U8	943074		2.9447e+13
N7-U9	943297		8.91865e+14
N7-V5	966112		1.45784e+13
N7-V8	966402		2.17265e+13
N7-V9	966574		6.59379e+14
N7-W5	984324		1.12149e+13
N7-W8	984552		1.65323e+13
N7-W9	984687		5.02531e+14
N7-X5	998766		8.82316e+12
N7-X8	998949		1.28966e+13
N7-X9	999057		3.92506e+14
N7-Y5	1.01041e+06		7.07295e+12
N7-Y8	1.01056e+06		1.02689e+13
N7-Y9	1.01065e+06		3.12847e+14
N7-Z5	1.01994e+06		5.761e+12
N7-Z8	1.02006e+06		8.31867e+12
N7-Z9	1.02013e+06		2.53642e+14
O1-P2	142882		2.8386e+15
O1-P3	147880		2.83433e+15
O1-Q2	274435		1.2957e+15
O1-Q3	277550		1.36429e+15
O1-R2	359562		7.61519e+14
O1-R3	361632		8.16633e+14
O1-S2	417725		4.95799e+14
O1-S3	419169		5.38178e+14
O1-T2	439410		1.88814e+14
O1-T3	442974		3.18936e+14
O1-U2	471367		1.34248e+14
O1-U3	474037		2.31674e+14
O1-V2	495579		9.93276e+13
O1-V3	497631		1.74087e+14
O1-W2	514360		7.57771e+13
O1-W3	515970		1.34383e+14
O1-X2	529220		5.92433e+13
O1-X3	530507		1.06038e+14
O1-Y2	541178		4.72584e+13
O1-Y3	542223		8.52193e+13
O1-Z2	550944		3.83401e+13
O1-Z3	551803		6.95618e+13
O2-O1	75855.9		6.31359e+14
O2-P1	262983		3.57058e+13
O2-P4	214939		3.36714e+15
O2-Q1	378286		1.27765e+13
O2-Q4	347865		2.09281e+15
O2-R1	454221		6.91604e+12
O2-R4	433785		1.36694e+15
O2-S1	506798		4.31227e+12
O2-S4	492435		9.39715e+14
O2-T1	515266		2.39516e+14
O2-T4	518830		6.61996e+14
O2-U1	547223		1.76466e+14
O2-U4	549893		4.92576e+14
O2-V1	571435		1.33884e+14
O2-V4	573487		3.76473e+14
O2-W1	590216		1.04055e+14
O2-W4	591826		2.94253e+14
O2-X1	605076		8.25174e+13
O2-X4	606362		2.3439e+14
O2-Y1	617034		6.65659e+13
O2-Y4	618079		1.8976e+14
O2-Z1	626800		5.44929e+13
O2-Z4	627659		1.55802e+14
O3-O1	67088.8		9.29709e+14
O3-P1	254215		1.17363e+13
O3-P4	206172		7.10026e+14
O3-P5	210650		3.96398e+15
O3-Q1	369519		1.4436e+12
O3-Q4	339098		4.22829e+14
O3-Q5	341900		2.45886e+15
O3-R1	445454		3.6145e+11
O3-R4	425018		2.71435e+14
O3-R5	426885		1.60496e+15
O3-S1	498031		1.30904e+11
O3-S4	483668		1.84519e+14
O3-S5	484972		1.10431e+15
O3-T1	506499		5.09456e+14
O3-T4	510063		1.28734e+14
O3-T5	511096		7.75991e+14
O3-U1	538456		3.75097e+14
O3-U4	541126		9.53457e+13
O3-U5	541901		5.7784e+14
O3-V1	562668		2.84521e+14
O3-V4	564720		7.2638e+13
O3-V5	565316		4.41887e+14
O3-W1	581449		2.21121e+14
O3-W4	583059		5.66405e+13
O3-W5	583528		3.45536e+14
O3-X1	596309		1.75356e+14
O3-X4	597595		4.50363e+13
O3-X5	597971		2.75344e+14
O3-Y1	608267		1.41464e+14
O3-Y4	609312		3.64093e+13
O3-Y5	609616		2.22989e+14
O3-Z1	618033		1.15812e+14
O3-Z4	618892		2.98597e+13
O3-Z5	619143		1.83138e+14
O4-O2	6361.8		7.56927e+11
O4-O3	15128.8		1.00375e+12
O4-O6	7675.07		6.33674e+11
O4-P2	225100		6.43484e+14
O4-P3	230097		4.50564e+13
O4-P6	225715		5.4076e+15
O4-Q2	356652		3.5741e+14
O4-Q3	359767		2.55371e+13
O4-Q6	357000		3.34695e+15
O4-R2	441780		2.17484e+14
