# Z = 79, A = 197 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
M1-[3	1.5656e+06		1.60271e+14
M1-\2	1.57164e+06		6.37054e+13
M1-\3	1.57224e+06		1.34486e+14
M1-]2	1.57735e+06		-nan
M1-]3	1.57786e+06		1.13966e+14
M1-^2	1.58222e+06		-nan
M1-^3	1.58266e+06		-nan
M1-_2	1.5864e+06		3.94801e+13
M1-_3	1.58678e+06		-nan
M1-`2	1.59003e+06		-nan
M1-`3	1.59035e+06		7.28548e+13
M1-a2	1.59318e+06		-nan
M1-a3	1.59347e+06		-nan
M1-b2	1.59595e+06		-nan
M1-b3	1.5962e+06		-nan
M1-c2	1.59839e+06		2.30838e+13
M1-c3	1.59862e+06		-nan
M1-d2	1.60056e+06		-nan
M1-d3	1.60075e+06		4.38481e+13
M1-e2	1.60248e+06		1.82364e+13
M1-e3	1.60266e+06		-nan
M1-f2	1.6042e+06		-nan
M1-f3	1.60436e+06		3.50247e+13
M1-g2	1.60575e+06		1.46594e+13
M1-g3	1.60589e+06		-nan
M1-h2	1.60714e+06		-nan
M1-h3	1.60727e+06		2.84213e+13
M1-i2	1.6084e+06		-nan
M1-i3	1.60852e+06		-nan
M1-j2	1.60954e+06		1.08593e+13
M1-j3	1.60965e+06		-nan
M1-k2	1.61058e+06		9.88859e+12
M1-k3	1.61068e+06		2.13037e+13
M1-l2	1.61153e+06		-nan
M1-l3	1.61162e+06		1.94658e+13
M1-m2	1.6124e+06		-nan
M1-m3	1.61248e+06		-nan
M1-n2	1.6132e+06		-nan
M1-n3	1.61327e+06		-nan
M1-o2	1.61393e+06		-nan
M1-o3	1.614e+06		-nan
M1-p2	1.6146e+06		-nan
M1-p3	1.61467e+06		-nan
M1-q2	1.61523e+06		-nan
M1-q3	1.61529e+06		-nan
M1-r2	1.61581e+06		-nan
M1-r3	1.61586e+06		-nan
M2-M1	336380		6.59459e+15
M2-N1	1.01239e+06		5.2179e+14
M2-N4	855394		5.02111e+16
M2-O1	1.21508e+06		5.03813e+15
M2-O4	1.24432e+06		2.29726e+16
M2-P1	1.44849e+06		2.76061e+15
M2-P4	1.46528e+06		1.24389e+16
M2-Q1	1.58768e+06		1.68204e+15
M2-Q4	1.5982e+06		7.51167e+15
M2-R1	1.67726e+06		1.10203e+15
M2-R4	1.68427e+06		4.89323e+15
M2-S1	1.73826e+06		7.61712e+14
M2-S4	1.74316e+06		3.36977e+15
M2-T1	1.78165e+06		5.48661e+14
M2-T4	1.78521e+06		2.42153e+15
M2-U1	1.81361e+06		4.08394e+14
M2-U4	1.81628e+06		1.79972e+15
M2-V1	1.83782e+06		3.12241e+14
M2-V4	1.83987e+06		1.37464e+15
M2-W1	1.8566e+06		2.44107e+14
M2-W4	1.85821e+06		1.07401e+15
M2-X1	1.87146e+06		1.94469e+14
M2-X4	1.87275e+06		8.5529e+14
M2-Y1	1.88342e+06		1.57446e+14
M2-Y4	1.88446e+06		6.92311e+14
M2-Z1	1.89318e+06		1.29266e+14
M2-Z4	1.89404e+06		5.68346e+14
M2-[1	1.90126e+06		1.07437e+14
M2-[4	1.90198e+06		4.72361e+14
M2-\1	1.90802e+06		9.0264e+13
M2-\4	1.90862e+06		3.96872e+14
M2-]1	1.91373e+06		-nan
M2-]4	1.91424e+06		3.36678e+14
