# Z = 13, A = 27 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
N4-]3	27100.8		1.20816e+09
N4-]6	27100.9		1.53542e+11
N4-^2	27228.5		-nan
N4-^3	27228.7		-nan
N4-^6	27228.8		1.31217e+11
N5-N6	9.10877		806.53
N5-N7	14.6708		50585.1
N5-O3	10645.1		1.01291e+12
N5-O6	10663.3		1.01328e+12
N5-O7	10666.2		1.51955e+13
N5-P3	16431		5.05e+11
N5-P6	16443.4		5.04037e+11
N5-P7	16445		7.56595e+12
N5-Q3	19909.5		2.88188e+11
N5-Q6	19919.2		2.86729e+11
N5-Q7	19920.2		4.30243e+12
N5-R3	22155.9		1.80555e+11
N5-R6	22164.2		1.79031e+11
N5-R7	22164.9		2.68909e+12
N5-S3	23684.2		1.20577e+11
N5-S6	23691.7		1.19292e+11
N5-S7	23692.2		1.79274e+12
N5-T3	23665.2		8.1496e+10
N5-T6	23665.9		8.1817e+10
N5-T7	23666.2		1.22987e+12
N5-U3	24487.3		6.00074e+10
N5-U6	24487.8		6.01846e+10
N5-U7	24488.1		9.04725e+11
N5-V3	25112.5		4.55198e+10
N5-V6	25113		4.5621e+10
N5-V7	25113.2		6.85781e+11
N5-W3	25599.1		3.53805e+10
N5-W6	25599.4		3.54391e+10
N5-W7	25599.6		5.32703e+11
N5-X3	25985.2		2.8063e+10
N5-X6	25985.5		2.80969e+10
N5-X7	25985.6		4.22319e+11
N5-Y3	26296.7		2.26446e+10
N5-Y6	26296.9		2.26637e+10
N5-Y7	26297		3.40639e+11
N5-Z3	26551.6		1.85439e+10
N5-Z6	26551.7		1.85539e+10
N5-Z7	26551.8		2.78857e+11
N5-[3	26762.8		1.53815e+10
N5-[6	26763		1.53859e+10
N5-[7	26763		2.31234e+11
N5-\3	26939.8		1.29025e+10
N5-\6	26940		1.29035e+10
N5-\7	26940		1.93919e+11
N5-]2	27089.4		-nan
N5-]3	27089.7		1.09311e+10
N5-]6	27089.8		1.09299e+10
N5-]7	27089.8		1.64254e+11
N5-^2	27217.3		-nan
N5-^3	27217.6		-nan
N5-^6	27217.7		9.34079e+09
