# Z = 6, A = 12 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
N3-Y4	5475.76		2.13653e+09
N3-Y5	5475.77		1.28259e+10
N3-Z1	5529.74		2.76578e+09
N3-Z4	5529.76		1.75797e+09
N3-Z5	5529.77		1.05529e+10
N3-[1	5574.5		2.30138e+09
N3-[4	5574.52		1.4639e+09
N3-[5	5574.52		8.78735e+09
N3-\1	5612		1.93557e+09
N3-\4	5612.02		1.23199e+09
N3-\5	5612.03		7.39503e+09
N3-]1	5643.75		-nan
N3-]4	5643.76		1.04664e+09
N3-]5	5643.76		6.28225e+09
N3-^1	5670.85		-nan
N3-^4	5670.86		-nan
N3-^5	5670.86		5.38217e+09
N4-N6	1.58398		282.099
N4-O2	2254.16		5.04428e+10
N4-O3	2254.93		5.01995e+09
N4-O6	2257.25		6.39283e+11
N4-P2	3477.74		2.51386e+10
N4-P3	3478.18		2.50292e+09
N4-P6	3480.17		3.17814e+11
N4-Q2	4212.2		1.43047e+10
N4-Q3	4212.48		1.4225e+09
N4-Q6	4214.4		1.80353e+11
N4-R2	4685.03		8.93222e+09
N4-R3	4685.22		8.88946e+08
N4-R6	4687.17		1.12252e+11
N4-S2	5004.98		5.92941e+09
N4-S3	5005.11		5.90463e+08
N4-S6	5007.1		7.43436e+10
N4-T2	4916.37		4.019e+09
N4-T3	4916.47		4.00354e+08
N4-T6	4916.5		5.06898e+10
N4-U2	5090.54		2.96139e+09
N4-U3	5090.61		2.95032e+08
N4-U6	5090.64		3.73109e+10
N4-V2	5223		2.24748e+09
N4-V3	5223.06		2.2391e+08
N4-V6	5223.08		2.82941e+10
N4-W2	5326.09		1.74743e+09
N4-W3	5326.14		1.74087e+08
N4-W6	5326.15		2.19858e+10
N4-X2	5407.89		1.38635e+09
N4-X3	5407.92		1.38108e+08
N4-X6	5407.93		1.74346e+10
N4-Y2	5473.87		1.11887e+09
N4-Y3	5473.9		1.11456e+08
N4-Y6	5473.91		1.40656e+10
N4-Z2	5527.88		9.16377e+08
N4-Z3	5527.9		9.12803e+07
N4-Z6	5527.91		1.15164e+10
N4-[2	5572.64		7.60182e+08
N4-[3	5572.66		7.57183e+07
N4-[6	5572.66		9.55108e+09
N4-\2	5610.14		6.3772e+08
N4-\3	5610.16		6.35178e+07
N4-\6	5610.17		8.01075e+09
N4-]2	5641.89		-nan
N4-]3	5641.9		5.38145e+07
N4-]6	5641.9		6.78603e+09
N4-^2	5668.99		-nan
N4-^3	5669		-nan
N4-^6	5669		5.79975e+09
N5-N6	1.08225		6.42597
N5-N7	1.33272		180.027
N5-O3	2254.43		4.52452e+10
N5-O6	2256.74		4.56616e+10
N5-O7	2256.87		6.84888e+11
N5-P3	3477.68		2.25473e+10
N5-P6	3479.67		2.2692e+10
N5-P7	3479.74		3.40458e+11
N5-Q3	4211.97		1.28409e+10
N5-Q6	4213.9		1.28815e+10
N5-Q7	4213.95		1.93158e+11
N5-R3	4684.71		8.01368e+09
N5-R6	4686.67		8.0128e+09
N5-R7	4686.7		1.20241e+11
N5-S3	5004.61		5.31743e+09
N5-S6	5006.59		5.30534e+09
N5-S7	5006.62		7.96406e+10
N5-T3	4915.97		3.60339e+09
N5-T6	4916		3.61703e+09
N5-T7	4916.02		5.43017e+10
N5-U3	5090.11		2.65498e+09
N5-U6	5090.13		2.66241e+09
N5-U7	5090.15		3.99687e+10
N5-V3	5222.56		2.01494e+09
N5-V6	5222.58		2.01909e+09
N5-V7	5222.59		3.03088e+10
N5-W3	5325.63		1.56668e+09
N5-W6	5325.65		1.56901e+09
N5-W7	5325.66		2.35507e+10
N5-X3	5407.42		1.243e+09
N5-X6	5407.43		1.24427e+09
N5-X7	5407.44		1.86751e+10
N5-Y3	5473.4		1.00322e+09
N5-Y6	5473.41		1.00387e+09
N5-Y7	5473.42		1.5066e+10
N5-Z3	5527.4		8.21686e+08
N5-Z6	5527.41		8.21967e+08
N5-Z7	5527.41		1.23353e+10
N5-[3	5572.15		6.81656e+08
N5-[6	5572.16		6.81712e+08
N5-[7	5572.16		1.023e+10
N5-\3	5609.66		5.71863e+08
N5-\6	5609.66		5.71785e+08
N5-\7	5609.67		8.58002e+09
N5-]2	5641.38		-nan
N5-]3	5641.4		4.84535e+08
N5-]6	5641.4		4.84378e+08
N5-]7	5641.41		7.26811e+09
N5-^2	5668.49		-nan
N5-^3	5668.5		-nan
N5-^6	5668.5		4.13986e+08
N5-^7	5668.5		6.21162e+09
N6-O4	2254.51		1.34408e+10
N6-O5	2254.77		6.38799e+08
N6-P4	3477.53		5.70138e+09
N6-P5	3477.68		2.71064e+08
N6-P8	3479.69		3.50661e+11
N6-Q4	4211.74		2.9723e+09
N6-Q5	4211.84		1.41056e+08
N6-Q8	4214.07		1.64295e+11
N6-R4	4684.47		1.75941e+09
N6-R5	4684.53		8.36137e+07
N6-R8	4686.96		9.19298e+10
N6-S4	5004.35		1.1278e+09
N6-S5	5004.4		5.36479e+07
N6-S8	5006.98		5.69876e+10
N6-T4	4914.89		7.45665e+08
N6-T5	4914.92		3.54855e+07
N6-T8	4914.93		3.69188e+10
N6-U4	5089.03		5.3952e+08
N6-U5	5089.05		2.56768e+07
N6-U8	5089.06		2.63049e+10
N6-V4	5221.48		4.03896e+08
N6-V5	5221.49		1.92207e+07
N6-V8	5221.5		1.94738e+10
N6-W4	5324.55		3.10743e+08
N6-W5	5324.57		1.47858e+07
N6-W8	5324.57		1.48573e+10
N6-X4	5406.34		2.44498e+08
N6-X5	5406.35		1.16322e+07
N6-X8	5406.36		1.16144e+10
N6-Y4	5472.32		1.96019e+08
N6-Y5	5472.33		9.32454e+06
N6-Y8	5472.33		9.26388e+09
N6-Z4	5526.32		1.59678e+08
N6-Z5	5526.33		7.5949e+06
N6-Z8	5526.33		7.51529e+09
N6-[4	5571.07		1.31871e+08
N6-[5	5571.08		6.27167e+06
N6-[8	5571.08		6.18565e+09
N6-\4	5608.58		1.10216e+08
N6-\5	5608.58		5.24129e+06
N6-\8	5608.58		5.15542e+09
N6-]4	5640.32		9.30895e+07
N6-]5	5640.32		4.42648e+06
N6-]8	5640.32		4.3441e+09
N6-^4	5667.41		-nan
