Energy, Intensity, Transition 
 84.58810000000001,  5.525504747505434e-07,  R7-Q8
 600.227,  5.741459657169466e-07,  P5-N6
 498.846,  5.815597731055969e-07,  S3-O4
 57.707699999999996,  5.834642947270065e-07,  S11-R12
 584.111,  5.885345939994435e-07,  V7-O8
 131.133,  5.905416767257708e-07,  Q5-P6
 1766.26,  5.914998418095671e-07,  S3-M4
 84.1136,  6.033900876432298e-07,  R11-Q12
 8.31752,  6.120578025655841e-07,  O6-O4
 887.77,  6.414535784974121e-07,  S3-N4
 23.186799999999998,  6.938099237322206e-07,  V17-U18
 237.374,  6.952401701253637e-07,  V9-Q10
 84.3025,  7.374097578223415e-07,  R9-Q10
 86.0725,  7.419675794001374e-07,  R3-Q4
 218.99,  7.892589995962307e-07,  R3-P4
 1707.37,  8.303696429529285e-07,  R3-M4
 439.955,  8.431196145278611e-07,  R3-O4
 130.273,  8.721957470391253e-07,  Q7-P8
 129.765,  8.781761368523361e-07,  Q9-P10
 31.0631,  9.017338876844669e-07,  U4-T3
 95.09339999999999,  9.025885412504398e-07,  V11-S12
 828.879,  9.123628112193838e-07,  R3-N4
 53.7415,  9.288594508079929e-07,  V13-T14
 16.797900000000002,  9.294626202011252e-07,  P4-P2
 2.05145,  9.454830191232252e-07,  V3-V1
 939.392,  1.0101241073326758e-06,  U5-N7
 217.457,  1.0592993067477666e-06,  P5-O6
 153.071,  1.113003698427147e-06,  V9-R10
 368.341,  1.1180875559083226e-06,  V7-P8
 2.05145,  1.1258858508324117e-06,  V4-V2
 31.956799999999998,  1.1445826418799523e-06,  U1-T2
 560.407,  1.2053246925364543e-06,  U6-O8
 73.1122,  1.2095461581277548e-06,  U4-S3
